set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
94,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,137.933,137,137,247.1400000000,247.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,488.441,266,266,595.4000000000,595.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,492.782,272,272,519.0700000000,519.0700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,static,weighted_tardiness,23.6500000000,6.6000000000,72.093023,488.706,296,278,593.2700000000,584.2100000000,23.6500000000,6.6000000000,0.5500000000,0.5500000000
98,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,501.214,279,279,635.4800000000,635.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,static,weighted_tardiness,66.6100000000,65.6900000000,1.381174,548.964,277,342,734.1000000000,986.9300000000,66.6100000000,65.6900000000,7.6000000000,7.6000000000
100,25,10,static,weighted_tardiness,95.0200000000,84.9300000000,10.618817,41.779,87,87,218.5800000000,215.6400000000,95.0200000000,84.9300000000,6.8400000000,6.8400000000
101,25,10,static,weighted_tardiness,7.4200000000,4.6700000000,37.061995,42.037,95,95,123.5300000000,155.0800000000,7.4200000000,4.6700000000,0.4900000000,0.4900000000
102,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,42.841,72,72,106.5000000000,106.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
103,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.899,96,96,182.9500000000,182.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.462,68,68,112.4600000000,112.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.540,77,77,196.5800000000,196.5800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.624,83,83,114.6500000000,114.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
107,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.189,83,83,107.0900000000,107.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
108,25,10,static,weighted_tardiness,65.8200000000,60.2900000000,8.401702,41.180,89,89,176.1900000000,181.8500000000,65.8200000000,60.2900000000,6.2800000000,5.4900000000
109,25,10,static,weighted_tardiness,4.8000000000,4.8000000000,0.000000,41.503,74,74,97.3900000000,97.3900000000,4.8000000000,4.8000000000,0.9300000000,0.9300000000
110,50,10,static,weighted_tardiness,0.3000000000,0.1800000000,40.000000,134.880,145,145,275.0700000000,282.4100000000,0.3000000000,0.1800000000,0.0600000000,0.0600000000
111,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,134.789,181,181,255.4700000000,255.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
112,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,134.515,143,143,363.7100000000,363.7100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,133.816,151,151,235.9800000000,235.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,134.965,139,139,241.8600000000,241.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,494.784,269,269,632.8600000000,632.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,static,weighted_tardiness,7.7000000000,0.0000000000,100.000000,513.120,266,266,650.1000000000,697.6700000000,7.7000000000,0.0000000000,0.7000000000,0.0000000000
117,100,10,static,weighted_tardiness,36.4800000000,22.5400000000,38.212719,490.767,277,376,659.7900000000,819.9200000000,36.4800000000,22.5400000000,3.3200000000,2.5300000000
118,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,490.644,272,272,647.5900000000,647.5900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,100,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,531.723,287,287,581.4500000000,581.4500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
