set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
90,50,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,13.391,212,212,736.2800000000,736.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,dynamic,weighted_tardiness,303.0400000000,303.0400000000,0.000000,17.827,208,208,757.2500000000,757.2500000000,303.0400000000,303.0400000000,12.0000000000,12.0000000000
92,50,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,25.165,175,175,727.4800000000,727.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,dynamic,weighted_tardiness,145.5800000000,131.3400000000,9.781563,30.315,189,192,730.9200000000,726.9800000000,145.5800000000,131.3400000000,6.7900000000,6.7900000000
94,50,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,18.565,208,208,499.3000000000,499.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,71.529,348,348,1587.2400000000,1587.2400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,56.344,347,347,1518.8400000000,1518.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,dynamic,weighted_tardiness,1.6500000000,1.6500000000,0.000000,49.182,321,321,1225.6100000000,1225.6100000000,1.6500000000,1.6500000000,0.5500000000,0.5500000000
98,100,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,43.759,332,332,1367.9800000000,1367.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,dynamic,weighted_tardiness,236.7800000000,229.4200000000,3.108371,82.530,309,329,1579.2800000000,1651.5100000000,236.7800000000,229.4200000000,10.9800000000,10.3800000000
100,25,10,dynamic,weighted_tardiness,234.7300000000,234.7300000000,0.000000,8.736,122,122,374.6200000000,374.6200000000,234.7300000000,234.7300000000,9.0500000000,9.0500000000
101,25,10,dynamic,weighted_tardiness,61.1900000000,61.1900000000,0.000000,9.307,124,124,221.9800000000,221.9800000000,61.1900000000,61.1900000000,2.0000000000,2.0000000000
102,25,10,dynamic,weighted_tardiness,77.7100000000,77.7100000000,0.000000,8.946,131,131,331.3300000000,331.3300000000,77.7100000000,77.7100000000,4.8800000000,4.8800000000
103,25,10,dynamic,weighted_tardiness,42.9000000000,42.9000000000,0.000000,8.452,116,116,296.0600000000,296.0600000000,42.9000000000,42.9000000000,2.0600000000,2.0600000000
104,25,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,8.744,68,68,116.9000000000,116.9000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,dynamic,weighted_tardiness,2.8000000000,2.8000000000,0.000000,8.813,97,97,256.6800000000,256.6800000000,2.8000000000,2.8000000000,0.7000000000,0.7000000000
106,25,10,dynamic,weighted_tardiness,5.1800000000,5.1800000000,0.000000,9.460,85,85,157.2300000000,157.2300000000,5.1800000000,5.1800000000,0.3700000000,0.3700000000
107,25,10,dynamic,weighted_tardiness,28.6900000000,28.6900000000,0.000000,8.895,162,162,270.5400000000,270.5400000000,28.6900000000,28.6900000000,1.3100000000,1.3100000000
108,25,10,dynamic,weighted_tardiness,99.2400000000,99.2400000000,0.000000,9.198,95,95,215.2800000000,215.2800000000,99.2400000000,99.2400000000,5.4900000000,5.4900000000
109,25,10,dynamic,weighted_tardiness,5.7800000000,5.7800000000,0.000000,9.738,75,75,117.1000000000,117.1000000000,5.7800000000,5.7800000000,1.9100000000,1.9100000000
110,50,10,dynamic,weighted_tardiness,60.0600000000,57.9100000000,3.579754,39.398,200,222,730.8300000000,838.0500000000,60.0600000000,57.9100000000,2.2400000000,3.7600000000
111,50,10,dynamic,weighted_tardiness,2.8500000000,7.6000000000,-166.666667,16.622,201,180,618.6100000000,644.6400000000,2.8500000000,7.6000000000,0.1900000000,0.9500000000
112,50,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,23.115,187,187,941.3100000000,941.3100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,dynamic,weighted_tardiness,1.3000000000,1.3000000000,0.000000,16.833,189,189,527.2100000000,527.2100000000,1.3000000000,1.3000000000,0.2600000000,0.2600000000
114,50,10,dynamic,weighted_tardiness,0.9200000000,0.9200000000,0.000000,24.638,181,181,529.8500000000,529.8500000000,0.9200000000,0.9200000000,0.4600000000,0.4600000000
115,100,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,48.790,318,318,1488.4800000000,1488.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,dynamic,weighted_tardiness,0.8400000000,0.8400000000,0.000000,61.562,326,326,1571.9300000000,1571.9300000000,0.8400000000,0.8400000000,0.2800000000,0.2800000000
117,100,10,dynamic,weighted_tardiness,215.7100000000,127.3000000000,40.985582,91.514,310,296,1657.8900000000,1772.6800000000,215.7100000000,127.3000000000,8.0100000000,6.9300000000
118,100,10,dynamic,weighted_tardiness,36.0600000000,16.9500000000,52.995008,98.356,358,356,1905.5400000000,1904.9800000000,36.0600000000,16.9500000000,1.1300000000,1.7000000000
119,100,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,63.620,338,338,1403.8500000000,1403.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
